url,product,category,subcategory,brand,volume,weight,details
https://super.facua.org/mercadona/leche/leche-semidesnatada-hacendado-6-l/,Leche Semidesnatada Hacendado 6 L.,leche,semidesnatada,hacendado,6.0,,
https://super.facua.org/mercadona/leche/leche-semidesnatada-hacendado-9-l/,Leche Semidesnatada Hacendado 9 L.,leche,semidesnatada,hacendado,9.0,,
https://super.facua.org/mercadona/leche/leche-semidesnatada-sin-lactosa-hacendado-1-l/,Leche Semidesnatada Sin Lactosa Hacendado 1 L.,leche,semidesnatada,hacendado,1.0,,sin lactosa
https://super.facua.org/mercadona/leche/leche-semidesnatada-sin-lactosa-hacendado-6-l/,Leche Semidesnatada Sin Lactosa Hacendado 6 L.,leche,semidesnatada,hacendado,6.0,,sin lactosa
https://super.facua.org/mercadona/leche/leche-semidesnatada-sin-lactosa-hacendado-9-l/,Leche Semidesnatada Sin Lactosa Hacendado 9 L.,leche,semidesnatada,hacendado,9.0,,sin lactosa
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-capicua-garrafa-5-l/,Aceite De Girasol Capicua Garrafa 5 L.,aceite_girasol,,capicua,5.0,,garrafa
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-carrefour-classic-1-l/,Aceite De Girasol Carrefour Classic 1 L.,aceite_girasol,,carrefour,1.0,,classic
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-carrefour-garrafa-5-l/,Aceite De Girasol Carrefour Garrafa 5 L.,aceite_girasol,,carrefour,5.0,,garrafa
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-coosol-1-l/,Aceite De Girasol Coosol 1 L.,aceite_girasol,,coosol,1.0,,
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-especial-para-freir-capicua-3-l/,Aceite De Girasol Especial Para Freir Capicua 3 L.,aceite_girasol,especial para freir,capicua,3.0,,
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-fontasol-1-l/,Aceite De Girasol Fontasol 1 L.,aceite_girasol,,fontasol,1.0,,
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-fontasol-5-l/,Aceite De Girasol Fontasol 5 L.,aceite_girasol,,fontasol,5.0,,
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-koipe-fritos-1-l/,Aceite De Girasol Koipe Fritos 1 L.,aceite_girasol,fritos,koipe,1.0,,
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-koipe-sol-1-l/,Aceite De Girasol Koipe Sol 1 L.,aceite_girasol,,koipe sol,1.0,,
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-koipe-sol-5-l/,Aceite De Girasol Koipe Sol 5 L.,aceite_girasol,,koipe,5.0,,
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-koipe-sol-spray-150-ml/,Aceite De Girasol Koipe Sol Spray 150 Ml.,aceite_girasol,,koipe,0.15,,sol spray
https://super.facua.org/carrefour/aceite-de-girasol/aceite-de-girasol-para-freir-carrefour-garrafa-5-l/,Aceite De Girasol Para Freír Carrefour Garrafa 5 L.,aceite_girasol,,carrefour,5.0,,garrafa
https://super.facua.org/carrefour/aceite-de-girasol/aceite-girasol-ecologico-campomar-nature-1-l/,Aceite Girasol Ecológico Campomar Nature 1 L.,aceite_girasol,,campomar nature,1.0,,ecológico
https://super.facua.org/carrefour/aceite-de-girasol/aceite-refinado-de-girasol-especial-para-freir-carrefour-1-l/,Aceite Refinado De Girasol Especial Para Freír Carrefour 1 L.,aceite_girasol,refinado,carrefour,1.0,,especial para freír
https://super.facua.org/carrefour/aceite-de-girasol/ozolife-aceite-girasol-ozonizado-airless-50-ml/,Ozolife Aceite Girasol Ozonizado Air-Less 50 Ml,aceite_girasol,ozonizado,ozolife,0.05,,air-less
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-04-la-masia-1-l/,"Aceite De Oliva 0,4º La Masía 1 L.",aceite_oliva,0.4º,la masía,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-04-ybarra-1-l/,"Aceite De Oliva 0,4º Ybarra 1 L.",aceite_oliva,0.4º,ybarra,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-carbonell-5-l/,Aceite De Oliva Carbonell 5 L.,aceite_oliva,,carbonell,5.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-extra-suave-carbonell-1-l/,Aceite De Oliva Extra Suave Carbonell 1 L.,aceite_oliva,extra suave,carbonell,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-abaco-1-l/,Aceite De Oliva Intenso 1º Abaco 1 L.,aceite_oliva,intenso 1º,abaco,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-carrefour-1-l/,Aceite De Oliva Intenso 1º Carrefour 1 L.,aceite_oliva,intenso,carrefour,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-carrefour-garrafa-5-l/,Aceite De Oliva Intenso 1º Carrefour Garrafa 5 L.,aceite_oliva,intenso 1º,carrefour,5.0,,garrafa
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-espanola-1-l/,Aceite De Oliva Intenso 1º La Española 1 L.,aceite_oliva,intenso 1º,la española,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-1-l/,Aceite De Oliva Intenso 1º La Masía 1 L.,aceite_oliva,intenso 1º,la masía,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-intenso-1-la-masia-garrafa-5-l/,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,aceite_oliva,intenso 1º,la masía,5.0,,garrafa
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-original-04-carbonell-1-l/,"Aceite De Oliva Original 0,4º Carbonell 1 L.",aceite_oliva,0.4º,carbonell,1.0,,original
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-original-04-carbonell-5-l/,"Aceite De Oliva Original 0,4º Carbonell 5 L.",aceite_oliva,0.4º,carbonell,5.0,,original
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-original-04-carbonell-pack-de-2-botellas-de-1-l/,"Aceite De Oliva Original 0,4º Carbonell Pack De 2 Botellas De 1 L.",aceite_oliva,0.4º,carbonell,2.0,,pack de 2 botellas
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-sabor-1-carbonell-1-l/,Aceite De Oliva Sabor 1º Carbonell 1 L.,aceite_oliva,sabor 1º,carbonell,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-suave-04-abaco-1-l/,"Aceite De Oliva Suave 0,4º Abaco 1 L.",aceite_oliva,0.4º,abaco,1.0,,suave
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-suave-04-carrefour-1-l/,"Aceite De Oliva Suave 0,4º Carrefour 1 L.",aceite_oliva,0.4º,carrefour,1.0,,suave
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-suave-04-carrefour-garrafon-5-l/,"Aceite De Oliva Suave 0,4º Carrefour Garrafón 5 L.",aceite_oliva,0.4º,carrefour,5.0,,suave garrafón
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-suave-04-carrefour-lata-5-l/,"Aceite De Oliva Suave 0,4º Carrefour Lata 5 L.",aceite_oliva,0.4º,carrefour,5.0,,suave lata
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-suave-04-la-espanola-1-l/,"Aceite De Oliva Suave 0,4º La Española 1 L.",aceite_oliva,0.4º,la española,1.0,,suave
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-suave-04-la-masia-garrafa-5-l/,"Aceite De Oliva Suave 0,4º La Masía Garrafa 5 L.",aceite_oliva,0.4º,la masía,5.0,,suave garrafa
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-aromas-del-sur-5-l/,Aceite De Oliva Virgen Aromas Del Sur 5 L.,aceite_oliva,virgen,aromas del sur,5.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-carbonell-1-l/,Aceite De Oliva Virgen Carbonell 1 L.,aceite_oliva,virgen,carbonell,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-carbonell-5-l/,Aceite De Oliva Virgen Carbonell 5 L.,aceite_oliva,virgen,carbonell,5.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-carrefour-1-l/,Aceite De Oliva Virgen Carrefour 1 L.,aceite_oliva,virgen,carrefour,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-carrefour-garrafa-5-l/,Aceite De Oliva Virgen Carrefour Garrafa 5 L.,aceite_oliva,virgen,carrefour,5.0,,garrafa
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-100-arbequina-ecologico-750-ml-natursoy/,"Aceite De Oliva Virgen Extra 100% Arbequina Ecológico, 750 Ml. Natursoy",aceite_oliva,virgen extra,natursoy,0.75,,100% arbequina ecológico
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-a-la-trufa-la-espanola-250-ml/,Aceite De Oliva Virgen Extra A La Trufa La Española 250 Ml.,aceite_oliva,virgen extra a la trufa,la española,0.25,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-arbequina-carbonell-1-l/,Aceite De Oliva Virgen Extra Arbequina Carbonell 1 L.,aceite_oliva,virgen extra arbequina,carbonell,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-arbequina-carrefour-1-l/,Aceite De Oliva Virgen Extra Arbequina Carrefour 1 L.,aceite_oliva,virgen extra,carrefour,1.0,,arbequina
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-arbequina-coosur-1-l/,Aceite De Oliva Virgen Extra Arbequina Coosur 1 L.,aceite_oliva,virgen extra,coosur,1.0,,arbequina
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-arbequina-dcoop-1-l/,Aceite De Oliva Virgen Extra Arbequina Dcoop 1 L.,aceite_oliva,virgen extra,dcoop,1.0,,arbequina
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-arbequina-k-arginano-750-ml/,Aceite De Oliva Virgen Extra Arbequina K Argiñano 750 Ml.,aceite_oliva,virgen extra,k argiñano,0.75,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-arbequina-oro-bailen-500-ml/,Aceite De Oliva Virgen Extra Arbequina Oro Bailén 500 Ml.,aceite_oliva,virgen extra,oro bailén,0.5,,arbequina
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-aromas-del-sur-5-l/,Aceite De Oliva Virgen Extra Aromas Del Sur 5 L.,aceite_oliva,virgen extra,aromas del sur,5.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-capricho-andaluz-pack-de-10-porciones-de-10-ml/,Aceite De Oliva Virgen Extra Capricho Andaluz Pack De 10 Porciones De 10 Ml.,aceite_oliva,virgen extra,capricho andaluz,0.1,,pack de 10 porciones de 10 ml
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-1-l/,Aceite De Oliva Virgen Extra Carbonell 1 L.,aceite_oliva,virgen extra,carbonell,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-200-ml/,Aceite De Oliva Virgen Extra Carbonell 200 Ml.,aceite_oliva,virgen extra,carbonell,0.2,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-carbonell-5-l/,Aceite De Oliva Virgen Extra Carbonell 5 L.,aceite_oliva,virgen extra,carbonell,5.0,,
